CTname,ParticipationRate
0001.01 (933000101)  00000,64.7
0001.02 (933000102)  00010,61.4
0002.01 (933000201)  00000,66.1
0002.02 (933000202)  00000,59.2
0003.01 (933000301)  00001,63.4
0003.02 (933000302)  00001,65.2
0004.01 (933000401)  00001,51.6
0004.02 (933000402)  01011,60.3
0005.00 (933000500)  00000,75.4
0006.01 (933000601)  00001,56.9
0006.02 (933000602)  00001,55.3
0007.01 (933000701)  00001,63.7
0007.02 (933000702)  00001,55
0008.00 (933000800)  00010,62.3
0009.00 (933000900)  00000,59
0010.01 (933001001)  00000,41.8
0010.02 (933001002)  00000,48.6
0011.00 (933001100)  00000,57.8
0012.00 (933001200)  00000,62.4
0013.01 (933001301)  00000,55
0013.02 (933001302)  00000,57.3
0014.00 (933001400)  00000,56.2
0015.01 (933001501)  00000,53.7
0015.02 (933001502)  00000,53.8
0016.01 (933001601)  00000,59.5
0016.03 (933001603)  00001,61.5
0016.04 (933001604)  00001,65.3
0017.01 (933001701)  00000,62.1
0017.02 (933001702)  00000,59.7
0018.01 (933001801)  00000,61.6
0018.02 (933001802)  00000,64.2
0019.00 (933001900)  00000,56.7
0020.00 (933002000)  00000,47.6
0021.00 (933002100)  00000,60.8
0022.00 (933002200)  00000,51.5
0023.00 (933002300)  00000,63.2
0024.00 (933002400)  00000,64.2
0025.00 (933002500)  00000,67.1
0026.00 (933002600)  00000,53.8
0027.00 (933002700)  00000,52.2
0028.00 (933002800)  00000,62.9
0029.00 (933002900)  00000,72.1
0030.00 (933003000)  00000,65.7
0031.01 (933003101)  00000,72.9
0031.02 (933003102)  00000,69.4
0032.00 (933003200)  00000,64.5
0033.00 (933003300)  00000,65.7
0034.01 (933003401)  00000,59.8
0034.02 (933003402)  00000,61.1
0035.01 (933003501)  00000,60.4
0035.02 (933003502)  00000,60.3
0036.01 (933003601)  00000,58.7
0036.02 (933003602)  00000,61
0037.01 (933003701)  00001,68.9
0037.02 (933003702)  01011,69.7
0038.00 (933003800)  00000,73.8
0039.01 (933003901)  00000,81.5
0039.02 (933003902)  00000,73.6
0040.01 (933004001)  00001,82.9
0040.02 (933004002)  00001,77.4
0041.01 (933004101)  01001,74.7
0041.02 (933004102)  00001,78.1
0042.00 (933004200)  00000,71.6
0043.01 (933004301)  00001,70
0043.02 (933004302)  00001,65
0044.00 (933004400)  00000,63.3
0045.01 (933004501)  00000,82.9
0045.02 (933004502)  00000,78.1
0046.00 (933004600)  00000,78.4
0047.01 (933004701)  00001,77.2
0047.02 (933004702)  01001,82.8
0048.00 (933004800)  00000,76.2
0049.01 (933004901)  00000,81.5
0049.02 (933004902)  00000,71.3
0050.02 (933005002)  00000,67.1
0050.03 (933005003)  00001,73.6
0050.04 (933005004)  00001,63.8
0051.00 (933005100)  00000,59.9
0052.01 (933005201)  00000,54.8
0052.02 (933005202)  00000,63.1
0053.01 (933005301)  00001,64.6
0053.02 (933005302)  00001,69.9
0054.01 (933005401)  00001,71.6
0054.02 (933005402)  00001,60.6
0055.01 (933005501)  01000,63.6
0055.02 (933005502)  00000,70.2
0056.01 (933005601)  00001,68.9
0056.02 (933005602)  01001,77.1
0057.01 (933005701)  00011,36.2
0057.02 (933005702)  00001,53.9
0058.00 (933005800)  01020,34.2
0059.03 (933005903)  00001,73.3
0059.04 (933005904)  01011,73.5
0059.05 (933005905)  01011,70.1
0059.06 (933005906)  01001,45.2
0060.01 (933006001)  00001,78
0060.02 (933006002)  01001,77
0061.00 (933006100)  01000,71.4
0062.00 (933006200)  01000,63
0063.00 (933006300)  00000,72.6
0064.00 (933006400)  00000,71.1
0065.00 (933006500)  00000,68.1
0066.00 (933006600)  01000,74.1
0067.00 (933006700)  00000,64.4
0068.00 (933006800)  01010,71.9
0069.00 (933006900)  01010,64
0100.01 (933010001)  00000,68.9
0100.02 (933010002)  00000,76.2
0101.01 (933010101)  00000,70.1
0101.02 (933010102)  00000,72.2
0102.00 (933010200)  00010,69.3
0103.00 (933010300)  00000,69.3
0104.00 (933010400)  00000,69.9
0110.01 (933011001)  00001,73.6
0110.02 (933011002)  00001,65.6
0111.01 (933011101)  00000,75
0111.02 (933011102)  00000,68.9
0111.03 (933011103)  00000,78.6
0112.00 (933011200)  00000,69.5
0113.00 (933011300)  00000,66.7
0114.00 (933011400)  00000,73.9
0115.00 (933011500)  00000,74.4
0116.00 (933011600)  00000,71.2
0117.00 (933011700)  00000,69.2
0118.00 (933011800)  00001,67
0119.00 (933011900)  00000,65.8
0120.00 (933012000)  00000,64.2
0121.00 (933012100)  00000,65.6
0122.00 (933012200)  00000,65
0130.01 (933013001)  00000,45.8
0130.02 (933013002)  00011,49.6
0131.00 (933013100)  00000,60.4
0132.00 (933013200)  00000,62
0133.01 (933013301)  00001,69.3
0133.02 (933013302)  00001,62.7
0134.00 (933013400)  00000,57.6
0135.00 (933013500)  00000,58.6
0140.02 (933014002)  00000,72.2
0140.03 (933014003)  00001,69
0140.04 (933014004)  00001,72.3
0141.00 (933014100)  00000,68.4
0142.01 (933014201)  00000,69.6
0142.02 (933014202)  00000,69.1
0142.03 (933014203)  00000,61.2
0143.01 (933014301)  00000,69.6
0143.02 (933014302)  00000,55.3
0143.03 (933014303)  00000,54.8
0143.04 (933014304)  00000,55
0144.03 (933014403)  00001,72.8
0144.04 (933014404)  00001,64.6
0144.05 (933014405)  00001,55.8
0144.06 (933014406)  00001,68.8
0145.00 (933014500)  00000,59.4
0146.00 (933014600)  00000,68.6
0147.01 (933014701)  00010,67.7
0147.02 (933014702)  00000,60.6
0147.04 (933014704)  00001,59.6
0147.05 (933014705)  00001,60.9
0147.06 (933014706)  00001,62.5
0148.00 (933014800)  00000,53.1
0149.02 (933014902)  00000,63.3
0149.03 (933014903)  00000,63.9
0149.04 (933014904)  00001,62.8
0149.05 (933014905)  00001,55.3
0150.00 (933015000)  00000,79.3
0151.01 (933015101)  00000,59.5
0151.03 (933015103)  00001,60.4
0151.04 (933015104)  00001,64.1
0160.01 (933016001)  00001,69.6
0160.02 (933016002)  00001,63.6
0160.03 (933016003)  00000,64.5
0160.04 (933016004)  00001,64.6
0161.01 (933016101)  00001,69.8
0161.02 (933016102)  00000,70.5
0161.03 (933016103)  00001,70.5
0161.05 (933016105)  00001,71.3
0161.06 (933016106)  00001,74.5
0162.01 (933016201)  00000,69.7
0162.02 (933016202)  00000,69.2
0162.03 (933016203)  00000,69.5
0162.04 (933016204)  00000,65.4
0163.01 (933016301)  00000,74.4
0163.04 (933016304)  00000,74.8
0163.05 (933016305)  00011,67.6
0163.06 (933016306)  00001,71.8
0163.07 (933016307)  00011,69.9
0163.08 (933016308)  00001,68
0170.03 (933017003)  01001,42.4
0170.04 (933017004)  00021,67.7
0170.05 (933017005)  00001,42.3
0170.06 (933017006)  00001,67.3
0180.00 (933018000)  00000,66.3
0181.01 (933018101)  00000,49.6
0181.03 (933018103)  00000,64.8
0181.04 (933018104)  00000,60
0181.05 (933018105)  00000,54.6
0181.06 (933018106)  00000,53.9
0181.07 (933018107)  00000,66.1
0181.08 (933018108)  00001,65.3
0181.09 (933018109)  00001,58.9
0182.01 (933018201)  00001,74.3
0182.02 (933018202)  01001,79.1
0182.03 (933018203)  00001,70.9
0182.04 (933018204)  00001,75.1
0182.05 (933018205)  00001,64.6
0182.06 (933018206)  00011,68.6
0183.01 (933018301)  00000,75.3
0183.03 (933018303)  00000,66.2
0183.04 (933018304)  00001,67.1
0183.05 (933018305)  00001,72.9
0183.06 (933018306)  00001,75
0183.07 (933018307)  00001,71.6
0184.01 (933018401)  00000,71.7
0184.02 (933018402)  00010,63.7
0184.05 (933018405)  00000,70.3
0184.06 (933018406)  00001,59.7
0184.07 (933018407)  00001,62.7
0184.08 (933018408)  00001,76.5
0184.09 (933018409)  00001,66.6
0184.10 (933018410)  00001,68.3
0184.11 (933018411)  00001,76.3
0185.05 (933018505)  00000,68.3
0185.06 (933018506)  00001,69.2
0185.07 (933018507)  00001,71.2
0185.08 (933018508)  00001,72.4
0185.09 (933018509)  00001,69.7
0185.10 (933018510)  00001,67.3
0185.11 (933018511)  00001,71.5
0185.12 (933018512)  00001,73.5
0185.13 (933018513)  01011,70.2
0185.14 (933018514)  00001,61.2
0185.15 (933018515)  00001,70.6
0185.16 (933018516)  01011,71.3
0186.01 (933018601)  00000,69.5
0186.02 (933018602)  00000,62.4
0186.05 (933018605)  00011,66.6
0186.06 (933018606)  00001,68.8
0186.07 (933018607)  00001,68.2
0186.08 (933018608)  00001,73.2
0187.03 (933018703)  00000,72.9
0187.04 (933018704)  00001,68.4
0187.05 (933018705)  00001,71
0187.06 (933018706)  00001,69.7
0187.07 (933018707)  00001,70.6
0187.08 (933018708)  00001,69.2
0187.09 (933018709)  00001,70.3
0188.01 (933018801)  00001,68.5
0188.02 (933018802)  00001,78.7
0188.03 (933018803)  00001,65
0188.04 (933018804)  00001,67.5
0188.05 (933018805)  00001,61.7
0188.06 (933018806)  00001,71.7
0189.03 (933018903)  00000,71.7
0189.05 (933018905)  00001,58.3
0189.06 (933018906)  00001,69.5
0189.07 (933018907)  00001,69.3
0189.08 (933018908)  00001,65.9
0189.09 (933018909)  00001,69.9
0189.10 (933018910)  01001,70.9
0190.01 (933019001)  00000,60.5
0190.03 (933019003)  00000,68.6
0190.04 (933019004)  00001,66.9
0190.05 (933019005)  00001,58.3
0191.02 (933019102)  00010,63.2
0191.03 (933019103)  00001,67
0191.04 (933019104)  01001,60
0192.00 (933019200)  00000,71.6
0200.00 (933020000)  00000,68.5
0201.00 (933020100)  00000,70.1
0202.00 (933020200)  00000,69.5
0203.00 (933020300)  00000,73.7
0204.01 (933020401)  00001,72.3
0204.02 (933020402)  01001,65.2
0205.00 (933020500)  00000,56.9
0206.00 (933020600)  01020,75.2
0207.00 (933020700)  00000,74.7
0208.00 (933020800)  00000,64.7
0209.00 (933020900)  00000,64.6
0210.00 (933021000)  00000,68.6
0220.00 (933022000)  00000,73.7
0221.01 (933022101)  00000,66.4
0221.03 (933022103)  00001,64.2
0221.04 (933022104)  00001,56.1
0222.00 (933022200)  00000,63.4
0223.01 (933022301)  00001,71.5
0223.02 (933022302)  00011,67
0224.01 (933022401)  00001,57.5
0224.02 (933022402)  00001,45.5
0225.00 (933022500)  00000,59.9
0226.01 (933022601)  00000,48.3
0226.02 (933022602)  00000,59
0227.01 (933022701)  00001,66
0227.02 (933022702)  00001,57.9
0228.02 (933022802)  00000,62.4
0228.03 (933022803)  00001,56.6
0228.04 (933022804)  00001,57.3
0229.00 (933022900)  00000,62.9
0230.01 (933023001)  00000,70.4
0230.02 (933023002)  00000,62.2
0231.00 (933023100)  00000,58.1
0232.00 (933023200)  00000,66.4
0233.00 (933023300)  00000,67.7
0234.00 (933023400)  00000,63
0235.02 (933023502)  00000,73.7
0235.03 (933023503)  00001,64
0235.04 (933023504)  00001,66.4
0236.00 (933023600)  00000,61
0237.00 (933023700)  00000,62.3
0238.01 (933023801)  00000,55
0238.02 (933023802)  00000,64
0239.00 (933023900)  00000,65.1
0240.01 (933024001)  00001,62.6
0240.02 (933024002)  00001,62.2
0241.00 (933024100)  00000,68.4
0242.00 (933024200)  00000,64.5
0243.01 (933024301)  00000,61.9
0243.02 (933024302)  01000,67.9
0250.01 (933025001)  00001,75.3
0250.02 (933025002)  00001,75.3
0251.00 (933025100)  00000,71.4
0260.02 (933026002)  00001,76
0260.04 (933026004)  00001,73.2
0260.05 (933026005)  00001,70.2
0260.06 (933026006)  00001,74.5
0260.07 (933026007)  00001,78.9
0260.08 (933026008)  00001,67.9
0280.00 (933028000)  00000,69.4
0281.01 (933028101)  00000,72.4
0281.02 (933028102)  00000,70.6
0282.00 (933028200)  00000,68.9
0283.00 (933028300)  00000,68.8
0284.01 (933028401)  00000,60
0284.02 (933028402)  00000,69.3
0285.01 (933028501)  00000,68.4
0285.02 (933028502)  00000,64.5
0286.01 (933028601)  00000,69.5
0286.02 (933028602)  00000,72.8
0286.03 (933028603)  00000,70.6
0287.01 (933028701)  00000,70.3
0287.02 (933028702)  00000,77.9
0287.04 (933028704)  00000,69.8
0287.05 (933028705)  00001,60.1
0287.06 (933028706)  00001,57.5
0287.07 (933028707)  00001,60.2
0290.02 (933029002)  00000,70.6
0290.03 (933029003)  00000,71.8
0290.04 (933029004)  00001,73.4
0290.05 (933029005)  00001,79.4
0291.01 (933029101)  00000,69
0291.02 (933029102)  00000,74
0292.01 (933029201)  00000,76.8
0292.02 (933029202)  00000,70.3
0400.01 (933040001)  00001,72.1
0400.02 (933040002)  00001,70.7
0401.01 (933040101)  00001,64.7
0401.02 (933040102)  00001,58.1
0402.01 (933040201)  00000,65.3
0402.02 (933040202)  00000,68.9
0403.01 (933040301)  00000,70.7
0403.03 (933040303)  00000,74.9
0403.04 (933040304)  00001,72.3
0403.05 (933040305)  00001,72.1
0404.00 (933040400)  00000,71.9
0410.02 (933041002)  00000,69.2
0410.03 (933041003)  00001,73.5
0410.04 (933041004)  01001,70.2
0500.00 (933050000)  00000,69.6
0501.01 (933050101)  00011,59.2
0501.02 (933050102)  00000,73.4
0501.03 (933050103)  00000,80.9
0502.01 (933050201)  00001,71.6
0502.02 (933050202)  00000,60.8
0502.03 (933050203)  00000,80.5
0502.04 (933050204)  00001,71.5
0502.05 (933050205)  00010,74.7
0503.01 (933050301)  00001,72.1
0503.03 (933050303)  00001,76.9
0503.04 (933050304)  00001,62.6
0503.05 (933050305)  00001,57.5
0504.01 (933050401)  00001,70
0504.02 (933050402)  00000,69.1
0504.03 (933050403)  00000,78.2
0504.04 (933050404)  00000,66
0505.00 (933050500)  00000,75.5
0506.01 (933050601)  00000,72.5
0506.02 (933050602)  00000,70.3
