CTname,Unemployed
0001.01 (933000101)  00000,7.2
0001.02 (933000102)  00010,10.5
0002.01 (933000201)  00000,8.2
0002.02 (933000202)  00000,6.9
0003.01 (933000301)  00001,9.7
0003.02 (933000302)  00001,9.8
0004.01 (933000401)  00001,9.1
0004.02 (933000402)  01011,10.8
0005.00 (933000500)  00000,8.6
0006.01 (933000601)  00001,5.3
0006.02 (933000602)  00001,11
0007.01 (933000701)  00001,8.3
0007.02 (933000702)  00001,7.7
0008.00 (933000800)  00010,6.1
0009.00 (933000900)  00000,9.4
0010.01 (933001001)  00000,7.8
0010.02 (933001002)  00000,6.4
0011.00 (933001100)  00000,7.4
0012.00 (933001200)  00000,7.2
0013.01 (933001301)  00000,9.2
0013.02 (933001302)  00000,13.4
0014.00 (933001400)  00000,10.4
0015.01 (933001501)  00000,9.5
0015.02 (933001502)  00000,9.9
0016.01 (933001601)  00000,12
0016.03 (933001603)  00001,8.7
0016.04 (933001604)  00001,8.1
0017.01 (933001701)  00000,7.1
0017.02 (933001702)  00000,7.7
0018.01 (933001801)  00000,8.9
0018.02 (933001802)  00000,10.2
0019.00 (933001900)  00000,6.9
0020.00 (933002000)  00000,5.7
0021.00 (933002100)  00000,4.5
0022.00 (933002200)  00000,3.3
0023.00 (933002300)  00000,7.1
0024.00 (933002400)  00000,6
0025.00 (933002500)  00000,7.2
0026.00 (933002600)  00000,4.7
0027.00 (933002700)  00000,5.7
0028.00 (933002800)  00000,4.6
0029.00 (933002900)  00000,4.3
0030.00 (933003000)  00000,6.8
0031.01 (933003101)  00000,5.4
0031.02 (933003102)  00000,7.3
0032.00 (933003200)  00000,11.4
0033.00 (933003300)  00000,10.9
0034.01 (933003401)  00000,5.9
0034.02 (933003402)  00000,9.9
0035.01 (933003501)  00000,10.7
0035.02 (933003502)  00000,8.1
0036.01 (933003601)  00000,6.3
0036.02 (933003602)  00000,8.8
0037.01 (933003701)  00001,9.1
0037.02 (933003702)  01011,12.2
0038.00 (933003800)  00000,8.8
0039.01 (933003901)  00000,5.5
0039.02 (933003902)  00000,9.2
0040.01 (933004001)  00001,5
0040.02 (933004002)  00001,6.3
0041.01 (933004101)  01001,6.2
0041.02 (933004102)  00001,5.1
0042.00 (933004200)  00000,6.2
0043.01 (933004301)  00001,10.3
0043.02 (933004302)  00001,5
0044.00 (933004400)  00000,3.6
0045.01 (933004501)  00000,4.3
0045.02 (933004502)  00000,5.1
0046.00 (933004600)  00000,4.7
0047.01 (933004701)  00001,6.7
0047.02 (933004702)  01001,6
0048.00 (933004800)  00000,7.7
0049.01 (933004901)  00000,5
0049.02 (933004902)  00000,3.6
0050.02 (933005002)  00000,13.1
0050.03 (933005003)  00001,9.2
0050.04 (933005004)  00001,12.8
0051.00 (933005100)  00000,7.7
0052.01 (933005201)  00000,9.2
0052.02 (933005202)  00000,7.9
0053.01 (933005301)  00001,8.7
0053.02 (933005302)  00001,5
0054.01 (933005401)  00001,9.6
0054.02 (933005402)  00001,9.1
0055.01 (933005501)  01000,12.5
0055.02 (933005502)  00000,11.6
0056.01 (933005601)  00001,15.3
0056.02 (933005602)  01001,9.9
0057.01 (933005701)  00011,28.7
0057.02 (933005702)  00001,16.8
0058.00 (933005800)  01020,25
0059.03 (933005903)  00001,4.9
0059.04 (933005904)  01011,9.9
0059.05 (933005905)  01011,11.9
0059.06 (933005906)  01001,24.2
0060.01 (933006001)  00001,6.5
0060.02 (933006002)  01001,7.9
0061.00 (933006100)  01000,6
0062.00 (933006200)  01000,7.1
0063.00 (933006300)  00000,6.9
0064.00 (933006400)  00000,7.2
0065.00 (933006500)  00000,9
0066.00 (933006600)  01000,7.4
0067.00 (933006700)  00000,9.9
0068.00 (933006800)  01010,7.3
0069.00 (933006900)  01010,11.1
0100.01 (933010001)  00000,5.6
0100.02 (933010002)  00000,7.3
0101.01 (933010101)  00000,7.5
0101.02 (933010102)  00000,8.6
0102.00 (933010200)  00010,7.4
0103.00 (933010300)  00000,7.4
0104.00 (933010400)  00000,4.7
0110.01 (933011001)  00001,5.2
0110.02 (933011002)  00001,5.5
0111.01 (933011101)  00000,4.8
0111.02 (933011102)  00000,4.4
0111.03 (933011103)  00000,4.2
0112.00 (933011200)  00000,4.5
0113.00 (933011300)  00000,6.1
0114.00 (933011400)  00000,4.6
0115.00 (933011500)  00000,6.6
0116.00 (933011600)  00000,4.8
0117.00 (933011700)  00000,5
0118.00 (933011800)  00001,6.5
0119.00 (933011900)  00000,5.7
0120.00 (933012000)  00000,4.9
0121.00 (933012100)  00000,5.2
0122.00 (933012200)  00000,3.4
0130.01 (933013001)  00000,7.2
0130.02 (933013002)  00011,7.7
0131.00 (933013100)  00000,5.2
0132.00 (933013200)  00000,4.3
0133.01 (933013301)  00001,4.1
0133.02 (933013302)  00001,5
0134.00 (933013400)  00000,5.4
0135.00 (933013500)  00000,6
0140.02 (933014002)  00000,5.1
0140.03 (933014003)  00001,8.1
0140.04 (933014004)  00001,4.8
0141.00 (933014100)  00000,5.6
0142.01 (933014201)  00000,7
0142.02 (933014202)  00000,5.1
0142.03 (933014203)  00000,6.4
0143.01 (933014301)  00000,6
0143.02 (933014302)  00000,8.8
0143.03 (933014303)  00000,8.7
0143.04 (933014304)  00000,9.7
0144.03 (933014403)  00001,6.4
0144.04 (933014404)  00001,7.2
0144.05 (933014405)  00001,7.8
0144.06 (933014406)  00001,7.4
0145.00 (933014500)  00000,9
0146.00 (933014600)  00000,7.2
0147.01 (933014701)  00010,9.9
0147.02 (933014702)  00000,7
0147.04 (933014704)  00001,6.7
0147.05 (933014705)  00001,9.2
0147.06 (933014706)  00001,7.7
0148.00 (933014800)  00000,8.7
0149.02 (933014902)  00000,6.9
0149.03 (933014903)  00000,6.2
0149.04 (933014904)  00001,7.7
0149.05 (933014905)  00001,7.9
0150.00 (933015000)  00000,3.3
0151.01 (933015101)  00000,7.6
0151.03 (933015103)  00001,9.3
0151.04 (933015104)  00001,7.5
0160.01 (933016001)  00001,4.1
0160.02 (933016002)  00001,4.7
0160.03 (933016003)  00000,4.7
0160.04 (933016004)  00001,3.9
0161.01 (933016101)  00001,3
0161.02 (933016102)  00000,5.4
0161.03 (933016103)  00001,5.8
0161.05 (933016105)  00001,5
0161.06 (933016106)  00001,1.6
0162.01 (933016201)  00000,6.2
0162.02 (933016202)  00000,4.4
0162.03 (933016203)  00000,7.7
0162.04 (933016204)  00000,6.1
0163.01 (933016301)  00000,6
0163.04 (933016304)  00000,5.6
0163.05 (933016305)  00011,8.3
0163.06 (933016306)  00001,7
0163.07 (933016307)  00011,7.1
0163.08 (933016308)  00001,2.3
0170.03 (933017003)  01001,3.8
0170.04 (933017004)  00021,5.4
0170.05 (933017005)  00001,5.9
0170.06 (933017006)  00001,4.9
0180.00 (933018000)  00000,4.3
0181.01 (933018101)  00000,6.1
0181.03 (933018103)  00000,5.4
0181.04 (933018104)  00000,5.5
0181.05 (933018105)  00000,5.3
0181.06 (933018106)  00000,4
0181.07 (933018107)  00000,3.2
0181.08 (933018108)  00001,6.4
0181.09 (933018109)  00001,3.8
0182.01 (933018201)  00001,4
0182.02 (933018202)  01001,11.8
0182.03 (933018203)  00001,4.6
0182.04 (933018204)  00001,4.6
0182.05 (933018205)  00001,5.2
0182.06 (933018206)  00011,2.3
0183.01 (933018301)  00000,4.2
0183.03 (933018303)  00000,5.2
0183.04 (933018304)  00001,6.2
0183.05 (933018305)  00001,4
0183.06 (933018306)  00001,5.4
0183.07 (933018307)  00001,3.6
0184.01 (933018401)  00000,5.4
0184.02 (933018402)  00010,9.4
0184.05 (933018405)  00000,8.2
0184.06 (933018406)  00001,5.4
0184.07 (933018407)  00001,9.5
0184.08 (933018408)  00001,9.6
0184.09 (933018409)  00001,6.1
0184.10 (933018410)  00001,5.7
0184.11 (933018411)  00001,6.8
0185.05 (933018505)  00000,8.7
0185.06 (933018506)  00001,6.3
0185.07 (933018507)  00001,4.1
0185.08 (933018508)  00001,6.8
0185.09 (933018509)  00001,8.3
0185.10 (933018510)  00001,8.9
0185.11 (933018511)  00001,9.7
0185.12 (933018512)  00001,8.6
0185.13 (933018513)  01011,11.1
0185.14 (933018514)  00001,10
0185.15 (933018515)  00001,9
0185.16 (933018516)  01011,11.7
0186.01 (933018601)  00000,8.9
0186.02 (933018602)  00000,7.6
0186.05 (933018605)  00011,8.8
0186.06 (933018606)  00001,10.5
0186.07 (933018607)  00001,7.8
0186.08 (933018608)  00001,10.7
0187.03 (933018703)  00000,6
0187.04 (933018704)  00001,2.6
0187.05 (933018705)  00001,8.6
0187.06 (933018706)  00001,7.5
0187.07 (933018707)  00001,4.3
0187.08 (933018708)  00001,6.2
0187.09 (933018709)  00001,8.5
0188.01 (933018801)  00001,3.7
0188.02 (933018802)  00001,4.2
0188.03 (933018803)  00001,6.5
0188.04 (933018804)  00001,7.2
0188.05 (933018805)  00001,4.7
0188.06 (933018806)  00001,10.6
0189.03 (933018903)  00000,6.3
0189.05 (933018905)  00001,7.1
0189.06 (933018906)  00001,10.8
0189.07 (933018907)  00001,11.7
0189.08 (933018908)  00001,14.8
0189.09 (933018909)  00001,6.8
0189.10 (933018910)  01001,7.8
0190.01 (933019001)  00000,8.8
0190.03 (933019003)  00000,10.1
0190.04 (933019004)  00001,7.3
0190.05 (933019005)  00001,12.8
0191.02 (933019102)  00010,12.3
0191.03 (933019103)  00001,6.6
0191.04 (933019104)  01001,5.5
0192.00 (933019200)  00000,13.2
0200.00 (933020000)  00000,9.4
0201.00 (933020100)  00000,7.9
0202.00 (933020200)  00000,8
0203.00 (933020300)  00000,3.7
0204.01 (933020401)  00001,10
0204.02 (933020402)  01001,9.2
0205.00 (933020500)  00000,10.1
0206.00 (933020600)  01020,6.8
0207.00 (933020700)  00000,10.8
0208.00 (933020800)  00000,4.6
0209.00 (933020900)  00000,6.3
0210.00 (933021000)  00000,4.6
0220.00 (933022000)  00000,3.5
0221.01 (933022101)  00000,10.4
0221.03 (933022103)  00001,4.4
0221.04 (933022104)  00001,9.3
0222.00 (933022200)  00000,7.4
0223.01 (933022301)  00001,10.9
0223.02 (933022302)  00011,15.5
0224.01 (933022401)  00001,10.8
0224.02 (933022402)  00001,19.2
0225.00 (933022500)  00000,5.5
0226.01 (933022601)  00000,10.6
0226.02 (933022602)  00000,7.3
0227.01 (933022701)  00001,12.5
0227.02 (933022702)  00001,10.9
0228.02 (933022802)  00000,7.6
0228.03 (933022803)  00001,12.3
0228.04 (933022804)  00001,7.2
0229.00 (933022900)  00000,7.2
0230.01 (933023001)  00000,6.3
0230.02 (933023002)  00000,7.9
0231.00 (933023100)  00000,3.6
0232.00 (933023200)  00000,8
0233.00 (933023300)  00000,8.5
0234.00 (933023400)  00000,9.9
0235.02 (933023502)  00000,8.1
0235.03 (933023503)  00001,9.5
0235.04 (933023504)  00001,7.8
0236.00 (933023600)  00000,5.2
0237.00 (933023700)  00000,8.1
0238.01 (933023801)  00000,9.2
0238.02 (933023802)  00000,10.2
0239.00 (933023900)  00000,5.3
0240.01 (933024001)  00001,8
0240.02 (933024002)  00001,8.8
0241.00 (933024100)  00000,6.5
0242.00 (933024200)  00000,5.7
0243.01 (933024301)  00000,7.7
0243.02 (933024302)  01000,7
0250.01 (933025001)  00001,4.9
0250.02 (933025002)  00001,5.3
0251.00 (933025100)  00000,13.3
0260.02 (933026002)  00001,5.9
0260.04 (933026004)  00001,8.5
0260.05 (933026005)  00001,7.3
0260.06 (933026006)  00001,3.8
0260.07 (933026007)  00001,5.4
0260.08 (933026008)  00001,4.1
0280.00 (933028000)  00000,7.4
0281.01 (933028101)  00000,4.7
0281.02 (933028102)  00000,8.2
0282.00 (933028200)  00000,7.4
0283.00 (933028300)  00000,7.7
0284.01 (933028401)  00000,12.4
0284.02 (933028402)  00000,5.8
0285.01 (933028501)  00000,11.3
0285.02 (933028502)  00000,8
0286.01 (933028601)  00000,6.5
0286.02 (933028602)  00000,5
0286.03 (933028603)  00000,6.6
0287.01 (933028701)  00000,6.5
0287.02 (933028702)  00000,3.1
0287.04 (933028704)  00000,4.5
0287.05 (933028705)  00001,7.8
0287.06 (933028706)  00001,7.1
0287.07 (933028707)  00001,7.7
0290.02 (933029002)  00000,7.1
0290.03 (933029003)  00000,6.6
0290.04 (933029004)  00001,3.9
0290.05 (933029005)  00001,6.4
0291.01 (933029101)  00000,8.4
0291.02 (933029102)  00000,6.9
0292.01 (933029201)  00000,4.5
0292.02 (933029202)  00000,6.9
0400.01 (933040001)  00001,6.2
0400.02 (933040002)  00001,6.4
0401.01 (933040101)  00001,7.5
0401.02 (933040102)  00001,6
0402.01 (933040201)  00000,8.2
0402.02 (933040202)  00000,5.2
0403.01 (933040301)  00000,7.3
0403.03 (933040303)  00000,7.3
0403.04 (933040304)  00001,6.3
0403.05 (933040305)  00001,6
0404.00 (933040400)  00000,4.1
0410.02 (933041002)  00000,7.9
0410.03 (933041003)  00001,5.6
0410.04 (933041004)  01001,5.7
0500.00 (933050000)  00000,5
0501.01 (933050101)  00011,5.6
0501.02 (933050102)  00000,4.7
0501.03 (933050103)  00000,5.8
0502.01 (933050201)  00001,1.8
0502.02 (933050202)  00000,5.3
0502.03 (933050203)  00000,5.8
0502.04 (933050204)  00001,5.2
0502.05 (933050205)  00010,4.7
0503.01 (933050301)  00001,7
0503.03 (933050303)  00001,5.1
0503.04 (933050304)  00001,8.8
0503.05 (933050305)  00001,8.4
0504.01 (933050401)  00001,4.5
0504.02 (933050402)  00000,5.2
0504.03 (933050403)  00000,3.6
0504.04 (933050404)  00000,4.9
0505.00 (933050500)  00000,4.8
0506.01 (933050601)  00000,7
0506.02 (933050602)  00000,7.5
